"player_name","team_abbreviation","age","player_height","player_weight","country","draft_number","gp","pts","reb","ast","ts_pct","from_US","draft_year_cat","is_tall","sc_level"
"Ty Jerome","GSW",25,195.58,88.45044,"USA",24,45,6.9,1.7,3,0.594,1,"Early Prime",0,"Medium"
"Troy Brown Jr.","LAL",23,200.66,97.52228,"USA",15,76,7.1,4.1,1.3,0.561,1,"Prime",0,"Medium"
"Trey Murphy III","NOP",23,203.2,93.439952,"USA",17,79,14.5,3.6,1.4,0.65,1,"Young",1,"High"
"Trey Lyles","SAC",27,205.74,106.140528,"Canada",12,74,7.6,4.1,0.9,0.607,0,"Prime",1,"Medium"
"Trevor Keels","NYK",19,193.04,100.243832,"USA",42,3,1,0.7,0,0.375,1,"Young",0,"Low"
"Victor Oladipo","MIA",31,190.5,96.615096,"USA",2,42,10.7,3,3.5,0.513,1,"Veteran",0,"Medium"
"Vince Williams Jr.","MEM",22,193.04,92.98636,"USA",47,15,2,1,0.3,0.367,1,"Young",0,"Low"
"Vlatko Cancar","DEN",26,203.2,107.047712,"Slovenia",49,60,5,2.1,1.3,0.606,0,"Prime",1,"Low"
"Michael Porter Jr.","DEN",25,208.28,98.883056,"USA",14,62,17.4,5.5,1,0.621,1,"Prime",1,"High"
"Zion Williamson","NOP",22,198.12,128.820128,"USA",1,29,26,7,4.6,0.652,1,"Early Prime",0,"High"
"Ziaire Williams","MEM",21,205.74,83.91452,"USA",10,37,5.7,2.1,0.9,0.511,1,"Young",1,"Low"
"Zeke Nnaji","DEN",22,205.74,108.86208,"USA",22,53,5.2,2.6,0.3,0.62,1,"Early Prime",1,"Low"
"Zach LaVine","CHI",28,195.58,90.7184,"USA",13,77,24.8,4.5,4.2,0.607,1,"Veteran",0,"High"
"Zach Collins","SAS",25,210.82,113.398,"USA",10,63,11.6,6.4,2.9,0.599,1,"Prime",1,"High"
"Xavier Tillman","MEM",24,200.66,111.13004,"USA",35,61,7,5,1.6,0.621,1,"Early Prime",0,"Medium"
"Willy Hernangomez","NOP",29,210.82,113.398,"Spain",35,38,6.9,4.7,0.9,0.61,0,"Prime",1,"Medium"
"Will Barton","TOR",32,195.58,82.100152,"USA",40,56,6.8,2.4,2,0.493,1,"Veteran",0,"Medium"
"Wendell Moore Jr.","MIN",21,195.58,97.52228,"USA",26,29,1.4,0.6,0.6,0.465,1,"Young",0,"Low"
"Wendell Carter Jr.","ORL",24,208.28,122.46984,"USA",7,57,15.2,8.7,2.3,0.621,1,"Prime",1,"High"
"Walker Kessler","UTA",21,213.36,111.13004,"USA",22,74,9.2,8.4,0.9,0.702,1,"Young",1,"Medium"
"Vit Krejci","ATL",23,203.2,88.45044,"Czech Republic",37,29,1.2,0.9,0.6,0.475,0,"Early Prime",1,"Low"
"Santi Aldama","MEM",22,213.36,97.52228,"Spain",30,77,9,4.8,1.3,0.591,0,"Young",1,"Medium"
"Tre Mann","OKC",22,190.5,80.739376,"USA",18,67,7.7,2.3,1.8,0.492,1,"Young",0,"Medium"
"Svi Mykhailiuk","CHA",26,200.66,92.98636,"Ukraine",47,32,6.9,1.7,1.7,0.584,0,"Prime",0,"Medium"
"Steven Adams","MEM",29,210.82,120.20188,"New Zealand",12,42,8.6,11.5,2.3,0.564,0,"Veteran",1,"Medium"
"Sterling Brown","LAL",28,195.58,99.336648,"USA",46,4,0,2,0.5,0,1,"Prime",0,"Low"
